Type	Freq.
başlamıştır	3203
terör	3199
imza	3196
karşısına	3196
yaptım	3193
silahlı	3192
sağlanması	3187
risk	3186
önümüzdeki	3183
şarkı	3183
düzen	3181
ettiler	3180
kişiye	3179
olmaması	3026
intihar	3025
olayın	3024
usta	3024
yapılmıştır	3022
parlak	3021
oyuncu	3019
işgal	3018
bireyin	3016
gelişen	3015
süt	3014
kelime	3013
budur	3013
parayı	3012
üyeleri	3012
başladılar	3012
olsaydı	3011
vererek	3010
sayı	3009
evden	3008
arkadaşları	3005
servis	3005
yapıldığı	3004
yıllarında	3003
denir	3003
uzanan	3003
hakim	2998
bölümde	2993
kahve	2993
dalga	2992
karmaşık	2991
ikincisi	2990
tarafı	2990
paralel	2988
sebebi	2986
beklenen	2980
olmazsa	2972
kitle	2969
devrim	2968
duygusal	2964
alanlarda	2964
yararlı	2959
kanunu	2959
edilecek	2958
verilir	2958
önemlisi	2956
kurtuluş	2956
sanatçı	2956
kavram	2954
şair	2950
vermeye	2949
rengi	2814
çekip	2814
işini	2813
dediler	2812
olanı	2811
altındaki	2803
ellerini	2803
işten	2802
çocuklara	2802
oluşturur	2802
buldu	2800
öldü	2797
analiz	2796
civarında	2796
kitabın	2795
cemal	2794
sınırları	2794
konuşan	2794
duygusu	2792
adamları	2791
geride	2791
birincisi	2790
miktar	2790
sonsuz	2788
kayıt	2785
koşulları	2784
ötesinde	2782
gittikçe	2782
aksi	2781
korumak	2781
görüyoruz	2780
reklam	2775
sözler	2773
öz	2770
içe	2766
isimli	2762
yarısı	2760
miktarda	2758
zemin	2756
iri	2754
suya	2752
tümüyle	2751
istedim	2751
başladığı	2746
yıllarca	2739
şehrin	2738
yaptığını	2737
seninle	2733
birbirini	2731
gibidir	2729
anlatan	2726
gerekiyordu	2703
kalktı	2703
biridir	2702
belirtilen	2702
dua	2700
hakkını	2694
